target_coordinates	gene_name	transcript_id	Strand
chr18:50274186-50274353	MBD1	ENST00000269468	-
chr11:130123612-130123779	APLP2	ENST00000338167	+
chr3:52208083-52208247	ALAS1	ENST00000484952	+
chr19:35509911-35509961	DMKN	ENST00000339686	-
chr16:30108213-30108264	GDPD3	ENST00000406256	-
chr3:120674901-120674989	HGD	ENST00000283871	-
chr19:43831318-43831381	ZNF283	ENST00000618787	+
chr10:130169433-130169490	GLRX3	ENST00000331244	+
chr6:25830524-25830607	SLC17A1	ENST00000244527	-
chr1:36174898-36175008	MAP7D1	ENST00000474796	+
chr1:230704202-230704337	AGT	ENST00000679957	-
chr3:195882051-195882328	TNK2	ENST00000672887	-
chr21:41373898-41374127	MX2	ENST00000416447	+
chr1:10106197-10106583	UBE4B	ENST00000343090	+
chr15:78024156-78024539	TBC1D2B	ENST00000300584	-
chr2:233488239-233488304	USP40	ENST00000678225	-
chr3:37361243-37361305	GOLGA4	ENST00000361924	+
chr11:16748097-16748157	C11orf58	ENST00000228136	+
chr4:70802956-70802983	RUFY3	ENST00000381006	+
chr19:15123375-15123576	ILVBL	ENST00000263383	-
chr11:65713348-65713503	KAT5	ENST00000341318	+
chr14:24151182-24151379	RNF31	ENST00000699885	+
chr12:111727962-111728143	ACAD10	ENST00000313698	+
chr12:19346994-19347182	PLEKHA5	ENST00000429027	+
chr5:10415488-10415669	MARCHF6	ENST00000274140	+
chr15:48748443-48748610	CEP152	ENST00000380950	-
chr6:63694581-63694764	PHF3	ENST00000262043	+
chr17:80730560-80730706	RPTOR	ENST00000306801	+
chr9:133457910-133458094	ADAMTS13	ENST00000355699	+
chr17:17222501-17222661	FLCN	ENST00000285071	-
chr6:32117859-32118038	ATF6B	ENST00000375203	-
chr22:20779297-20780201	SERPIND1	ENST00000215727	+
chr11:20051289-20051333	NAV2	ENST00000349880	+
chr1:8870452-8870510	ENO1	ENST00000234590	-
chr5:133022841-133022906	ZCCHC10	ENST00000509437	-
chr9:131201647-131201717	NUP214	ENST00000359428	+
chr10:26771075-26771089	ABI1	ENST00000376140	-
chr16:66531380-66531469	TK2	ENST00000544898	-
chr15:85123061-85123193	PDE8A	ENST00000394553	+
chr7:105462621-105462750	PUS7	ENST00000469408	-
chr17:17175293-17175412	MPRIP	ENST00000651222	+
chr4:1952108-1952231	NSD2	ENST00000508803	+
chr5:69371454-69371557	RAD17	ENST00000354868	+
chr2:111873308-111873408	ANAPC1	ENST00000341068	-
chr22:31528690-31528863	SFI1	ENST00000400288	+
chr10:95271633-95271784	PDLIM1	ENST00000329399	-
chr3:129461228-129461304	IFT122	ENST00000348417	+
chrX:20138539-20138622	EIF1AX	ENST00000379607	-
chr15:85117641-85117839	PDE8A	ENST00000394553	+
chr8:124999900-125000071	SQLE	ENST00000521232	+
chr3:15632591-15632866	BTD	ENST00000646371	+
chr15:92924321-92924552	CHD2	ENST00000394196	+
chr20:36236890-36237037	AAR2	ENST00000680933	+
chr2:191013525-191013678	STAT1	ENST00000361099	-
chr9:19126114-19126309	PLIN2	ENST00000276914	-
chr15:41668828-41669958	MGA	ENST00000566586	+
chr2:73572262-73573424	ALMS1	ENST00000613296	+
chrX:14026052-14026221	GEMIN8	ENST00000380523	-
chr9:15447095-15447244	SNAPC3	ENST00000380821	+
chr13:27441017-27441077	MTIF3	ENST00000381116	-
chr2:10797700-10797757	PDIA6	ENST00000272227	-
chr17:49414242-49414333	PHB1	ENST00000614445	-
chr12:56080197-56080382	ERBB3	ENST00000549282	+
chr6:28144331-28144424	ZKSCAN8	ENST00000457389	+
chr3:138688875-138688974	PIK3CB	ENST00000674063	-
chr7:1088198-1088321	GPER1	ENST00000397092	+
chr13:113140919-113141050	F10	ENST00000375559	+
chrX:71223220-71223335	GJB1	ENST00000646835	+
chr3:48652437-48652553	CELSR3	ENST00000164024	-
chrX:71223187-71223335	GJB1	ENST00000675609	+
chr9:128332153-128332282	COQ4	ENST00000300452	+
chrX:52956273-52956346	FAM156A	ENST00000623782	-
chr3:184163657-184163726	DVL3	ENST00000313143	+
chr1:11655328-11655699	FBXO44	ENST00000376770	+
chr11:66002844-66003070	BANF1	ENST00000530204	+
chr7:6577590-6577720	ZDHHC4	ENST00000396707	+
chr20:62320559-62320669	LAMA5	ENST00000252999	-
chr11:47172710-47172751	ARFGAP2	ENST00000525314	-
chr16:29809540-29809764	MAZ	ENST00000219782	+
chr9:129009106-129009346	SH3GLB2	ENST00000372564	-
chr19:40365553-40365930	PLD3	ENST00000700630	+
chr15:43791976-43792383	SERF2	ENST00000381359	+
chr16:55810517-55810664	CES1	ENST00000360526	-
chr14:24271113-24271169	RABGGTA	ENST00000216840	-
chr13:77126318-77126542	MYCBP2	ENST00000544440	-
chr1:203796293-203796601	ZC3H11A	ENST00000367214	+
chrX:147912728-147913077	FMR1	ENST00000689517	+
chr19:32999586-32999705	RHPN2	ENST00000254260	-
chr9:128457198-128457437	ODF2	ENST00000604420	+
chr4:75724056-75724176	G3BP2	ENST00000678100	-
chr13:27621337-27621437	POLR1D	ENST00000693488	+
chr19:1612207-1612433	TCF3	ENST00000588136	-
chr20:62956765-62956962	SLC17A9	ENST00000370351	+
chr8:39018853-39018881	ADAM9	ENST00000676936	+
chr3:193626092-193626202	OPA1	ENST00000361908	+
chr1:120168840-120168949	SEC22B	ENST00000578049	-
chr10:122392303-122392372	PLEKHA1	ENST00000392799	+
chr21:25975954-25976028	APP	ENST00000346798	-
chr1:1487863-1487914	ATAD3B	ENST00000673477	+
chr1:71065678-71065752	ZRANB2	ENST00000254821	-
chr12:76048393-76048464	NAP1L1	ENST00000393263	-
chr1:151285206-151286074	ZNF687	ENST00000324048	+
chr14:94289876-94290643	SERPINA10	ENST00000261994	-
chr5:103025134-103025334	PAM	ENST00000304400	+
chr2:44332459-44332656	PREPL	ENST00000409411	-
chr2:72182894-72182905	EXOC6B	ENST00000634650	-
chr10:78037965-78037982	RPS24	ENST00000464716	+
chr11:82843184-82843304	PRCP	ENST00000679809	-
chr16:68214329-68214432	NFATC3	ENST00000329524	+
chr20:34393770-34393881	ITCH	ENST00000665346	+
chr11:95887612-95887684	MTMR2	ENST00000675196	-
chr8:26339903-26339973	PPP2R2A	ENST00000660435	+
chr19:7905808-7905855	MAP2K7	ENST00000397983	+
chr19:1422348-1422396	DAZAP1	ENST00000233078	+
chr19:49667022-49667161	BCL2L12	ENST00000441864	+
chr19:58393359-58393487	RPS5	ENST00000196551	+
chr2:48346201-48346751	FOXN2	ENST00000340553	+
chr15:66436746-66436892	MAP2K1	ENST00000307102	+
chr1:151326172-151326373	PI4KB	ENST00000368872	-
chr6:31732217-31732398	CLIC1	ENST00000375784	-
chr9:122890312-122890545	RC3H2	ENST00000357244	-
chr19:44900730-44900852	TOMM40	ENST00000426677	+
chr14:21023986-21024096	NDRG2	ENST00000555158	-
chr1:11965480-11965593	PLOD1	ENST00000196061	+
chr3:9943890-9944095	CRELD1	ENST00000684181	+
chr9:114323663-114323805	ORM1	ENST00000259396	+
chr14:24165057-24165183	IRF9	ENST00000698995	+
chr9:34636997-34637112	SIGMAR1	ENST00000680277	-
chr20:46126640-46126741	CD40	ENST00000695671	+
chr11:47293883-47293983	MADD	ENST00000349238	+
chr8:96231379-96231515	UQCRB	ENST00000518406	-
chr2:112647324-112647464	SLC20A1	ENST00000272542	+
chr9:101399395-101399530	ZNF189	ENST00000259395	+
chr2:216499270-216499398	RPL37A	ENST00000491306	+
chr19:36551877-36551977	ZNF529	ENST00000334116	-
chr2:32301382-32301495	YIPF4	ENST00000238831	+
chr8:91076592-91076731	OTUD6B	ENST00000615618	+
chr18:2608700-2608830	NDC80	ENST00000261597	+
chr15:78927713-78927781	CTSH	ENST00000220166	-
chr6:2968779-2968913	SERPINB6	ENST00000616722	-
chr3:9653621-9653769	MTMR14	ENST00000296003	+
chr18:50274186-50274350	MBD1	ENST00000585672	-
chr19:10318229-10318372	RAVER1	ENST00000617231	-
chr6:26090910-26091104	HFE	ENST00000397022	+
chr12:6653230-6653396	ING4	ENST00000341550	-
chr22:40407789-40407843	SGSM3	ENST00000248929	+
chr1:26303043-26303167	UBXN11	ENST00000374221	-
chr6:42937717-42937839	CNPY3	ENST00000372836	+
chr2:172562741-172562800	PDK1	ENST00000392571	+
chr13:36994989-36995035	ALG5	ENST00000239891	-
chr2:27485018-27485130	IFT172	ENST00000260570	-
chr8:143590608-143590738	EEF1D	ENST00000442189	-
chr9:129022282-129022423	SH3GLB2	ENST00000372564	-
chr1:32634702-32634792	ZBTB8OS	ENST00000373501	-
chr3:10125626-10125708	BRK1	ENST00000530758	+
chr2:25249657-25249724	DNMT3A	ENST00000380746	-
chr20:33017042-33017102	BPIFB2	ENST00000170150	+
chr7:75881365-75881486	RHBDD2	ENST00000318622	+
chr11:61310295-61310418	DDB1	ENST00000301764	-
chr13:49172043-49172096	FNDC3A	ENST00000492622	+
chr13:100302924-100302998	PCCA	ENST00000376285	+
chr20:8802056-8802173	PLCB1	ENST00000378641	+
chr7:127721287-127721400	SND1	ENST00000354725	+
chr7:99562368-99562494	ZNF655	ENST00000320583	+
chr8:47971341-47971468	MCM4	ENST00000649973	+
chr1:77745421-77745599	USP33	ENST00000370793	-
chr9:100572518-100572676	TMEFF1	ENST00000374879	+
chr3:120690449-120690487	RABL3	ENST00000273375	-
chr1:95173816-95173889	TLCD4	ENST00000370203	+
chr8:56212762-56212889	CHCHD7	ENST00000518801	+
chr14:59484990-59485116	JKAMP	ENST00000356057	+
chr8:56212762-56212909	CHCHD7	ENST00000303759	+
chr2:197501074-197501238	HSPE1	ENST00000233893	+
chr3:9943902-9944095	CRELD1	ENST00000326434	+
chr9:128999172-128999317	NUP188	ENST00000372577	+
chr3:138188401-138188530	ARMC8	ENST00000358441	+
chr8:47728933-47729102	SPIDR	ENST00000518074	+
chr1:156259005-156259163	SMG5	ENST00000361813	-
chr3:100519462-100519608	TMEM45A	ENST00000403410	+
chr11:102448236-102448375	TMEM123	ENST00000526676	-
chr9:65693386-65693473	ZNG1E	ENST00000377392	+
chr1:62542608-62542703	DOCK7	ENST00000635253	-
chr12:867866-869104	WNK1	ENST00000340908	+
chr7:17338986-17340228	AHR	ENST00000242057	+
chr12:102148235-102148463	PARPBP	ENST00000392911	+
chrX:132054631-132054861	STK26	ENST00000394334	+
chr7:140380282-140380390	SLC37A3	ENST00000326232	-
chr16:23424749-23424947	COG7	ENST00000307149	-
chr9:136850506-136850560	PHPT1	ENST00000371661	+
chr9:137613460-137613510	ARRDC1	ENST00000371421	+
chr15:65515656-65515791	DPP8	ENST00000321147	-
chr21:33509783-33509920	GART	ENST00000381815	-
chr17:1766903-1766994	SERPINF1	ENST00000254722	+
chr9:177723-177820	ZNG1A	ENST00000314367	-
chr2:127491971-127492088	IWS1	ENST00000295321	-
chr16:50025651-50025701	CNEP1R1	ENST00000458059	+
chr8:11846562-11846616	CTSB	ENST00000534149	-
chr16:28208987-28209122	XPO6	ENST00000565698	-
chr2:3424525-3424663	TRAPPC12	ENST00000324266	+
chr17:40034916-40034972	MED24	ENST00000501516	-
chr20:45904800-45904859	PLTP	ENST00000372431	-
chr12:124327547-124327633	NCOR2	ENST00000404621	-
chr21:43748995-43749080	PDXK	ENST00000291565	+
chr10:38015967-38016045	ZNF33A	ENST00000307441	+
chr2:215388212-215388301	FN1	ENST00000354785	-
chr10:5924751-5924801	FBH1	ENST00000397269	+
chr1:156732985-156733047	METTL25B	ENST00000368216	+
chr10:50862889-50862981	A1CF	ENST00000395489	-
chr8:109340489-109340563	ENY2	ENST00000521688	+
chr2:131140170-131140275	PLEKHB2	ENST00000234115	+
chr19:58312197-58312462	ERVK3-1	ENST00000427361	+
chr1:236032401-236032652	NID1	ENST00000264187	-
chrX:2958274-2958423	ARSL	ENST00000684364	-
chr3:9765759-9765890	CAMK1	ENST00000256460	-
chr8:86402019-86402203	WWP1	ENST00000517970	+
chr14:24165054-24165183	IRF9	ENST00000699015	+
chr1:12003758-12003889	MFN2	ENST00000675817	+
chr10:3148171-3148291	PITRM1	ENST00000224949	-
chr19:19157025-19157142	MEF2B	ENST00000409447	-
chr11:75462786-75462889	GDPD5	ENST00000336898	-
chr16:89653904-89654020	CHMP1A	ENST00000674799	-
chr1:17613058-17613174	ARHGEF10L	ENST00000361221	+
chr17:45033935-45034042	DCAKD	ENST00000592902	-
chr19:6696379-6696465	C3	ENST00000245907	-
chr5:150383062-150383172	TCOF1	ENST00000513346	+
chr19:4844668-4844793	PLIN3	ENST00000221957	-
chr12:43805831-43806002	TWF1	ENST00000546506	-
chr5:134140796-134140888	TCF7	ENST00000522375	+
chr3:8627698-8627783	SSUH2	ENST00000544814	-
chr6:3006816-3006935	NQO2	ENST00000606474	+
chr12:51004788-51004907	SLC11A2	ENST00000262052	-
chr20:46022843-46023071	SLC12A5	ENST00000626701	+
chr19:49359844-49360081	TEAD2	ENST00000593945	-
chr2:272037-272065	ACP1	ENST00000405233	+
chr6:33202072-33202125	SLC39A7	ENST00000374677	+
chr19:43627644-43627790	CADM4	ENST00000222374	-
chr1:10279097-10279138	KIF1B	ENST00000676179	+
chr19:39482885-39482916	TIMM50	ENST00000607714	+
chr11:6478579-6478652	ARFIP2	ENST00000525235	-
chr1:36472066-36472139	CSF3R	ENST00000373106	-
chr11:61420470-61420530	CPSF7	ENST00000541963	-
chr19:19678726-19678786	ZNF101	ENST00000592502	+
chr13:21381901-21381945	ZDHHC20	ENST00000320220	-
chr12:71611058-71611097	ZFC3H1	ENST00000378743	-
chr3:48420224-48420257	PLXNB1	ENST00000456774	-
chr1:228146026-228146067	GUK1	ENST00000453943	+
chr19:10089111-10089378	SHFL	ENST00000397881	+
chr19:10489648-10489853	KEAP1	ENST00000171111	-
chr17:82446623-82446692	CYBC1	ENST00000580560	-
chr19:1612207-1612430	TCF3	ENST00000453954	-
chr1:1053753-1053977	AGRN	ENST00000379370	+
chr8:17983233-17983289	PCM1	ENST00000522275	+
chr16:30001465-30001530	INO80E	ENST00000567705	+
chr1:153628782-153628867	S100A1	ENST00000436839	+
chr19:58312028-58312462	ERVK3-1	ENST00000610038	+
chr2:127873828-127874272	AMMECR1L	ENST00000272647	-
chr22:21975905-21976187	TOP3B	ENST00000437103	-
chr7:100063788-100063979	ZSCAN21	ENST00000456748	+
chr1:112705605-112705733	RHOC	ENST00000484054	-
chr22:38295387-38295447	CSNK1E	ENST00000431611	-
chr17:80428596-80428660	ENDOV	ENST00000518137	+
chr6:159736258-159736295	WTAP	ENST00000621533	+
chr14:23300107-23300325	PPP1R3E	ENST00000559942	-
chr15:72736762-72736963	BBS4	ENST00000268057	+
chr1:160355863-160355958	NCSTN	ENST00000294785	+
chr5:138166518-138166610	BRD8	ENST00000454473	-
chr1:19146023-19146106	UBR4	ENST00000425413	-
chr1:51789568-51789657	NRDC	ENST00000352171	-
chr1:203796451-203796601	ZC3H11A	ENST00000432282	+
chr1:65421328-65421459	LEPROT	ENST00000613538	+
chr8:143590645-143590738	EEF1D	ENST00000529832	-
chr19:4660669-4660750	MYDGF	ENST00000262947	-
chr1:37581342-37581545	GNL2	ENST00000538069	-
chr10:97738477-97738674	ZFYVE27	ENST00000684270	+
chr1:78005080-78005321	DNAJB4	ENST00000426517	+
chr2:11235702-11235962	ROCK2	ENST00000315872	-
chr8:143590608-143590735	EEF1D	ENST00000530306	-
chr22:37565600-37565722	CDC42EP1	ENST00000430687	+
chr14:91285395-91285836	CCDC88C	ENST00000556726	-
chr1:44319628-44319744	ERI3	ENST00000372257	-
chr6:138926401-138926478	REPS1	ENST00000530255	-
chr7:105066727-105066807	KMT2E	ENST00000311117	+
chr12:108701124-108701323	CORO1C	ENST00000261401	-
chr17:47945598-47945612	PNPO	ENST00000584061	+
chr19:17861293-17861307	RPL18A	ENST00000599898	+
chr8:143590608-143590729	EEF1D	ENST00000532596	-
chr17:21295675-21295769	MAP2K3	ENST00000529517	+
chr17:36533160-36533423	MYO19	ENST00000616207	-
chr6:31861188-31861450	NEU1	ENST00000375631	-
chr1:25823240-25823439	MTFR1L	ENST00000533762	+
chr6:31669319-31669508	CSNK2B	ENST00000375882	+
chr17:81563921-81563979	NPLOC4	ENST00000573519	-
chr9:128949189-128949243	NUP188	ENST00000372577	+
chr20:46022930-46023071	SLC12A5	ENST00000413737	+
chr11:606442-606596	PHRF1	ENST00000264555	+
chr20:36465265-36465367	DLGAP4	ENST00000482872	+
chr3:52122379-52122477	POC1A	ENST00000296484	-
chr1:154588551-154588673	ADAR	ENST00000368474	-
chr20:44936894-44936976	PABPC1L	ENST00000372822	+
chr20:43567916-43567999	SGK2	ENST00000373100	+
chr17:749814-749909	GEMIN4	ENST00000570364	-
chr22:23292541-23292638	BCR	ENST00000305877	+
chr2:217901710-217901823	TNS1	ENST00000449814	-
chr1:1671509-1671629	SLC35E2B	ENST00000617444	-
chr2:20331717-20331937	PUM2	ENST00000424110	-
chr3:142512260-142512470	ATR	ENST00000350721	-
chr7:23197173-23197247	NUP42	ENST00000413919	+
chr3:185598958-185599024	SENP2	ENST00000296257	+
chr2:189785346-189785471	PMS1	ENST00000446877	+
chr9:92285722-92285839	IARS1	ENST00000443024	-
chr19:40365662-40365930	PLD3	ENST00000600948	+
chr12:12554536-12554659	DUSP16	ENST00000541207	-
chr2:241809782-241809925	NEU4	ENST00000423583	+
chr2:61203140-61203206	USP34	ENST00000436269	-
chr5:65551564-65551636	CENPK	ENST00000396679	-
chr2:62949094-62949162	EHBP1	ENST00000444311	+
chr18:36160932-36161004	ELP2	ENST00000358232	+
chr16:2775451-2775625	ELOB	ENST00000494946	-
chr17:78400677-78400855	PGS1	ENST00000262764	+
chr2:241268954-241269295	HDLBP	ENST00000452065	-
chr1:8875789-8876031	ENO1	ENST00000643438	-
chr2:27037815-27037892	TMEM214	ENST00000425720	+
chr15:34362573-34362655	LPCAT4	ENST00000314891	-
chr2:27350314-27350632	GTF3C2	ENST00000423998	-
chr11:17356651-17357001	NCR3LG1	ENST00000338965	+
chr19:6441979-6442159	SLC25A23	ENST00000593600	-
chr19:4695378-4695555	DPP9	ENST00000262960	-
chr1:114420380-114420451	TRIM33	ENST00000448034	-
chr17:31362288-31362364	NF1	ENST00000696138	+
chr16:124937-125073	NPRL3	ENST00000468260	-
chr19:15678261-15678405	CYP4F12	ENST00000550308	+
chr13:77021657-77021861	FBXL3	ENST00000417323	-
chr4:52033431-52033640	SGCB	ENST00000381431	-
chr6:29944122-29944397	HLA-A	ENST00000376809	+
chr11:834530-834745	CD151	ENST00000525718	+
chr1:2512888-2513039	PANK4	ENST00000378466	-
chr11:834530-834803	CD151	ENST00000525333	+
chr16:1312347-1312667	UBE2I	ENST00000567383	+
chr11:68039792-68039962	TCIRG1	ENST00000529657	+
chr4:8236278-8236428	SH3TC1	ENST00000245105	+
chr1:160261285-160261350	DCAF8	ENST00000440682	-
chr11:78138710-78138767	ALG8	ENST00000525761	-
chr2:10406265-10406361	HPCAL1	ENST00000423674	+
chr16:471295-471389	RAB11FIP3	ENST00000262305	+
chr11:70349923-70350039	PPFIA1	ENST00000528750	+
chr11:47801811-47801930	NUP160	ENST00000378460	-
chr19:2191084-2191240	DOT1L	ENST00000452696	+
chr16:2058747-2058873	TSC2	ENST00000219476	+
chr1:32810591-32810766	YARS1	ENST00000373477	-
chr19:35675840-35676019	UPK1A	ENST00000222275	+
chr15:64134664-64134807	SNX1	ENST00000559844	+
chr11:6547863-6548040	DNHD1	ENST00000254579	+
chr17:1660993-1661162	PRPF8	ENST00000304992	-
chr2:17771196-17771287	GEN1	ENST00000381254	+
chr6:13642479-13642591	RANBP9	ENST00000011619	-
chr1:186339642-186339772	TPR	ENST00000367478	-
chr16:20460107-20460291	ACSM2A	ENST00000573854	+
chr5:31472063-31472232	DROSHA	ENST00000344624	-
chr3:160404328-160404504	SMC4	ENST00000357388	+
chr1:62841428-62841547	ATG4C	ENST00000317868	+
chr1:11838335-11838442	CLCN6	ENST00000346436	+
chr17:40095444-40096087	NR1D1	ENST00000246672	-
chr7:143285941-143286202	TMEM139	ENST00000359333	+
chr20:35626563-35626803	CPNE1	ENST00000415920	-
chr3:88057191-88057292	CGGBP1	ENST00000482016	-
chr1:81989657-81989695	ADGRL2	ENST00000674407	+
chr8:103404776-103404861	SLC25A32	ENST00000297578	-
chr14:39064913-39064993	SEC23A	ENST00000307712	-
chr2:159430863-159431156	BAZ2B	ENST00000392783	-
chr3:93876966-93877191	PROS1	ENST00000394236	-
chr2:11174968-11175009	SLC66A3	ENST00000295083	+
chr1:53793229-53793279	NDC1	ENST00000371429	-
chr2:108382385-108382482	SULT1C4	ENST00000272452	+
chr5:43298009-43298134	HMGCS1	ENST00000325110	-
chr1:37796744-37796820	MANEAL	ENST00000373045	+
chr6:31745237-31745319	MSH5	ENST00000375750	+
chr22:24609965-24610033	GGT1	ENST00000400382	+
chr11:65579078-65579135	EHBP1L1	ENST00000309295	+
chr22:21970210-21970406	TOP3B	ENST00000357179	-
chr16:4463660-4463850	NMRAL1	ENST00000283429	-
chr4:48842636-48842689	OCIAD1	ENST00000264312	+
chr20:2836039-2836314	PCED1A	ENST00000360652	-
chr12:6968411-6968708	PHB2	ENST00000536316	-
chr11:10807255-10807381	EIF4G2	ENST00000339995	-
chr21:41449137-41449295	MX1	ENST00000398598	+
chr8:19830406-19830559	INTS10	ENST00000397977	+
chrX:18899173-18899226	PHKA2	ENST00000379942	-
chr16:8766208-8766270	ABAT	ENST00000268251	+
chr1:172553260-172553370	SUCO	ENST00000263688	+
chr7:54755779-54755881	SEC61G	ENST00000352861	-
chr7:65979727-65979911	GUSB	ENST00000304895	-
chr20:41357882-41358034	LPIN3	ENST00000373257	+
chr7:90309263-90309367	CFAP69	ENST00000389297	+
chr10:32933482-32933583	ITGB1	ENST00000679187	-
chr2:189783014-189783123	ORMDL1	ENST00000392349	-
chr16:56838952-56839069	NUP93	ENST00000308159	+
chr3:179233289-179233371	PIK3CA	ENST00000643187	+
chr5:36211844-36211922	NADK2	ENST00000381937	-
chr5:88197669-88197765	TMEM161B	ENST00000296595	-
chr5:66013549-66013638	ERBIN	ENST00000284037	+
chr11:111883136-111883202	CFAP68	ENST00000260276	+
chr10:68936006-68936079	DDX50	ENST00000373585	+
chr10:15102218-15102336	RPP38	ENST00000378197	+
chr15:90970404-90970514	PRC1	ENST00000394249	-
chr8:22570910-22571221	SORBS3	ENST00000240123	+
chr5:139377402-139377497	SLC23A1	ENST00000348729	-
chr22:28744615-28744709	HSCB	ENST00000398941	+
chr9:127397905-127398111	SLC2A8	ENST00000373371	+
chr1:205528048-205528168	CDK18	ENST00000429964	+
chr6:41743271-41743389	PGC	ENST00000373025	-
chr9:112689527-112689617	INIP	ENST00000374242	-
chr11:73914413-73914504	PAAF1	ENST00000310571	+
chr1:161167995-161168127	PPOX	ENST00000367999	+
chr7:36417080-36417190	ANLN	ENST00000265748	+
chr8:38247713-38247835	DDHD2	ENST00000397166	+
chr11:61780712-61780792	MYRF	ENST00000278836	+
chr7:5320532-5320607	TNRC18	ENST00000430969	-
chr13:95599365-95599424	DZIP1	ENST00000376829	-
chr8:20204484-20204539	ATP6V1B2	ENST00000276390	+
chr12:123587611-123587631	TMED2	ENST00000438031	+
chr11:120431771-120431911	ARHGEF12	ENST00000397843	+
chr2:32453808-32453942	BIRC6	ENST00000421745	+
chr4:169002071-169002205	CBR4	ENST00000306193	-
chr11:9143403-9143485	DENND5A	ENST00000328194	-
chr12:6859470-6859541	USP5	ENST00000229268	+
chr1:23340852-23341017	HNRNPR	ENST00000302271	-
chr17:5335184-5335344	RABEP1	ENST00000537505	+
chr14:55663955-55664041	KTN1	ENST00000395314	+
chr11:95841617-95841709	MTMR2	ENST00000346299	-
chr7:107939989-107940358	LAMB1	ENST00000222399	-
chr10:95351209-95351376	SORBS1	ENST00000371247	-
chr18:28009717-28009872	CDH2	ENST00000269141	-
chr2:216446662-216446718	SMARCAL1	ENST00000445153	+
chr2:97796844-97796986	TMEM131	ENST00000186436	-
chr6:85565332-85565419	SNX14	ENST00000314673	-
chr10:96559659-96559736	TM9SF3	ENST00000371142	-
chr20:63285980-63286218	ARFGAP1	ENST00000370275	+
chr11:1000432-1000598	AP2A2	ENST00000448903	+
chr7:151138143-151138313	AGAP3	ENST00000397238	+
chr5:122070053-122070168	LOX	ENST00000231004	-
chr8:66566064-66566243	MYBL1	ENST00000522677	-
chr12:22061281-22061452	CMAS	ENST00000229329	+
chr14:35865722-35865761	BRMS1L	ENST00000216807	+
chr17:37471094-37471137	TADA2A	ENST00000615182	+
chr12:26960515-26960628	FGFR1OP2	ENST00000229395	+
chr14:58211292-58211399	ACTR10	ENST00000254286	+
chr20:35658930-35658982	CPNE1	ENST00000352393	-
chr12:64445075-64445131	XPOT	ENST00000332707	+
chr14:31340450-31340476	HEATR5A	ENST00000549719	-
chr15:77447719-77447811	HMG20A	ENST00000381714	+
chr7:112318182-112318273	ZNF277	ENST00000361822	+
chr12:68624671-68624873	RAP1B	ENST00000537460	+
chr2:73239643-73239796	CCT7	ENST00000258091	+
chr9:112143471-112143623	SUSD1	ENST00000374270	-
chr20:13009201-13009384	SPTLC3	ENST00000434210	+
chr2:27454567-27454660	IFT172	ENST00000260570	-
chr1:23340852-23341020	HNRNPR	ENST00000374612	-
chr3:113450336-113450516	SPICE1	ENST00000295872	-
chr5:83065008-83065117	TMEM167A	ENST00000502346	-
chr14:103098618-103098918	EXOC3L4	ENST00000687959	+
chr11:134210270-134210454	NCAPD3	ENST00000534548	-
chr6:2770120-2770361	WRNIP1	ENST00000380773	+
chr5:96726794-96726859	CAST	ENST00000675179	+
chr6:53509176-53509250	GCLC	ENST00000650454	-
chr6:130870328-130870381	EPB41L2	ENST00000706365	-
chr14:90263801-90263847	PSMC1	ENST00000553835	+
chr14:52663801-52663847	ERO1A	ENST00000395686	-
chr17:31207151-31207195	NF1	ENST00000696138	+
chr14:102085965-102086124	HSP90AA1	ENST00000553585	-
chr10:103438686-103438808	PDCD11	ENST00000369797	+
chr21:33641179-33641305	CRYZL1	ENST00000361534	-
chr2:46588075-46588179	PIGF	ENST00000306465	-
chr2:64585422-64585545	AFTPH	ENST00000409933	+
chr11:73887040-73887099	PAAF1	ENST00000544552	+
chr5:138172065-138172134	BRD8	ENST00000254900	-
chr14:45110094-45110220	PRPF39	ENST00000355765	+
chr10:38054375-38054511	ZNF33A	ENST00000469037	+
chr5:32143749-32143880	GOLPH3	ENST00000265070	-
chr1:29154696-29154910	SRSF4	ENST00000373795	-
chr3:9928583-9928630	IL17RC	ENST00000696825	+
chr3:48578321-48578365	COL7A1	ENST00000681320	-
chr19:33204638-33204852	LRP3	ENST00000253193	+
chr1:154269362-154269412	UBAP2L	ENST00000437652	+
chr8:38267897-38267960	PLPP5	ENST00000424479	-
chr3:53121699-53121800	RFT1	ENST00000296292	-
chr22:24609962-24610033	GGT1	ENST00000456869	+
chr9:124858458-124858537	RPL35	ENST00000373570	-
chr16:46608297-46608389	SHCBP1	ENST00000303383	-
chr13:112880546-112880649	ATP11A	ENST00000415301	+
chr3:197010698-197010794	MELTF	ENST00000296350	-
chr9:137184913-137185087	ANAPC2	ENST00000323927	-
chr11:47179159-47179279	PACSIN3	ENST00000298838	-
chr1:155254400-155254456	ENTREP3	ENST00000361361	-
chr12:123227463-123227616	MPHOSPH9	ENST00000606320	-
chr1:35408008-35408159	ZMYM4	ENST00000314607	+
chr9:133043728-133043926	GTF3C5	ENST00000372097	+
chr17:39519956-39520087	CDK12	ENST00000447079	+
chr3:38374462-38374502	XYLB	ENST00000207870	+
chr16:67664996-67665168	ENKD1	ENST00000243878	-
chr17:68541985-68542165	FAM20A	ENST00000592554	-
chr7:103307596-103307708	PMPCB	ENST00000249269	+
